年份,地区,地区_归一化,文本总词频,环境规制强度_Z1,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,人均地区生产总值（元）,地区生产总值（万元）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）
2018,广州市,广州,6787,1.1934580816266391,81,16,8,16,41,155491.0,228593471.0,71.75,395.00941,161.4235,557.56152,557.56152,5645.0,225977.0
2019,广州市,广州,6385,1.5661707126076745,100,21,9,22,48,156427.0,236290000.0,71.62,339.47188,311.9044,668.04239,668.04239,5558.0,190055.89
2020,广州市,广州,6648,0.9927797833935018,66,14,4,13,35,135047.0,250190000.0,72.51,185.09646,384.76655,613.14701,613.14701,5719.0,466743.33
2021,广州市,广州,8151,1.1900380321432953,97,12,14,18,53,150366.0,282320000.0,71.56,109.90548,439.62191,587.3837,587.3837,6806.0,705981.0
2022,广州市,广州,8348,1.2458073790129371,104,10,29,21,44,153625.0,288390000.0,71.47,0.0,521.61798,604.88975,604.88975,6958.0,319499.0
2023,广州市,广州,8616,1.2418755803156918,107,7,31,32,37,161634.0,303560000.0,73.34,0.0,510.16731,611.01474,611.01474,6973.0,11480.0
2013,廊坊市,廊坊,6189,1.3249313297786396,82,9,13,23,37,46046.0,19431340.0,37.16,,,,16.5,212.0,1944.0
2014,廊坊市,廊坊,5851,2.033840369167664,119,20,13,40,46,48407.0,21759631.0,42.5,,,,16.91,254.0,1155.0
2015,廊坊市,廊坊,5685,1.688654353562005,96,11,9,47,29,54460.0,24738649.0,47.1,,12.41,12.41,21.04,239.0,2668.0
2016,廊坊市,廊坊,7890,1.9264892268694551,152,21,27,69,35,58972.0,27063015.0,48.6,,30.73,30.73,30.73,491.0,12076.0
2017,廊坊市,廊坊,6415,1.4029618082618862,90,16,9,35,30,61586.0,28810071.0,,,30.68,30.68,30.68,701.0,17792.0
2018,廊坊市,廊坊,6181,1.5693253518848085,97,6,9,31,51,64906.0,31082249.0,57.06,0.0,32.23,32.23,32.23,753.0,23259.0
2019,廊坊市,廊坊,3403,1.4692918013517484,50,9,4,14,23,65512.0,31960000.0,60.44,0.0,49.94805,49.94805,49.94805,749.0,15200.0
2020,廊坊市,廊坊,3706,1.4031300593631948,52,8,4,16,24,60989.0,33010000.0,62.34,0.0,44.36247,44.36247,44.36247,807.0,6818.0
2021,廊坊市,廊坊,3298,1.5463917525773196,51,6,5,19,21,64460.0,35530000.0,60.32,0.0,41.375,41.375,41.375,797.0,21581.0
2022,廊坊市,廊坊,5069,1.3809429867824028,70,6,10,18,36,64626.0,35650000.0,60.02,0.0,31.5671,31.5671,31.5671,828.0,8316.0
2023,廊坊市,廊坊,3753,1.5720756727950973,59,6,18,14,21,65763.0,36080000.0,61.98,0.0,41.9071,41.9071,41.9071,928.0,0.0
2014,张家口市,张家口,3801,1.368061036569324,52,6,15,19,12,30540.0,13489726.0,39.58,44.55,,44.55,49.5,160.0,28300.0
2015,张家口市,张家口,4969,1.448983698933387,72,9,15,22,26,30840.0,13635443.0,42.12,46.55,,46.55,49.0,160.0,200.0
2016,张家口市,张家口,6406,1.8264127380580704,117,11,35,49,22,33142.0,14659911.0,44.53,53.03,,53.02,55.5,244.0,1338.0
2017,张家口市,张家口,5934,1.9042804179305688,113,14,30,48,21,32219.0,14270162.0,,47.67,,47.67,48.87,485.0,290.0
2018,张家口市,张家口,6831,1.9762845849802373,135,7,52,37,39,34661.0,15366202.0,51.51,53.6455,0.0,53.6455,54.2137,571.0,
2019,张家口市,张家口,5698,1.5795015795015794,90,8,17,27,38,35025.0,15510000.0,55.57,57.4475,0.0,57.4475,57.5241,1136.0,159.0
2020,张家口市,张家口,7079,1.7234072609125584,122,12,26,38,46,38637.0,16000000.0,56.31,56.8808,0.0,56.8808,56.8808,1218.0,5556.0
2021,张家口市,张家口,5516,1.849166062364032,102,4,36,32,30,42049.0,17280000.0,56.19,25.28658,16.0153,41.30188,41.30188,1247.0,2270.0
2022,张家口市,张家口,4678,1.774262505344164,83,10,31,24,18,43435.0,17750000.0,55.83,0.0,43.1644,43.1644,43.1644,1038.0,1562.0
2023,张家口市,张家口,5111,2.0935237722559186,107,17,26,26,38,45360.0,18430000.0,57.35,0.0,42.732,42.732,42.732,1136.0,989.0
2013,徐州市,徐州,4869,1.5814335592524134,77,12,9,24,32,53263.0,44358243.0,42.5,7.51,51.74,59.25,59.25,457.0,6600.0
2014,徐州市,徐州,5384,2.321693907875186,125,21,21,34,49,57655.0,49639100.0,45.21,11.65,59.94,71.6,75.31,546.0,150.0
2015,徐州市,徐州,5400,1.7592592592592593,95,17,17,19,42,61511.0,53198804.0,46.24,19.83,59.95,79.78,79.78,651.0,5300.0
2016,徐州市,徐州,5862,1.9447287615148408,114,22,19,24,49,66845.0,58085200.0,47.38,28.91,63.45,92.36,92.36,840.0,8660.0
2017,徐州市,徐州,5879,2.075182854226909,122,13,12,32,65,72493.0,66059484.0,,41.78,58.62,103.8,103.8,974.0,20390.0
2018,徐州市,徐州,5942,2.036351396836082,121,12,16,42,51,76915.0,67552300.0,49.03,51.88392,54.77837,119.33035,119.33035,1001.0,89800.0
2019,徐州市,徐州,5544,2.290764790764791,127,16,20,37,54,81138.0,71510000.0,50.1,63.49014,52.33543,129.91135,129.91135,1013.0,23172.0
2020,徐州市,徐州,5833,1.6800960054860277,98,18,10,23,47,80673.0,73200000.0,50.12,32.98536,74.81763,117.6478,117.6478,975.0,65090.0
2021,徐州市,徐州,5743,1.706425213303152,98,9,27,27,35,89634.0,81170000.0,49.25,0.0,110.20057,132.33165,132.33165,986.0,0.0
2022,徐州市,徐州,6380,1.6300940438871474,104,10,22,37,35,93731.0,84580000.0,48.39,0.0,106.56627,129.42525,129.42525,986.0,1985.0
2023,徐州市,徐州,5753,1.512254475925604,87,5,24,28,30,98683.0,89000000.0,50.64,0.0,110.24755,129.87763,129.87763,1376.0,0.0
2013,惠州市,惠州,4554,1.756697408871322,80,13,12,27,28,78086.0,26783541.0,37.0,46.7,12.97,59.67,67.68,205.0,24787.0
2014,惠州市,惠州,5105,1.6846229187071498,86,12,15,30,29,63657.0,30003674.0,38.74,52.75,17.54,70.29,73.11,247.0,43222.0
2015,惠州市,惠州,5364,1.435495898583147,77,10,9,37,21,66231.0,31400306.0,40.2,78.86,16.43,95.29,95.29,267.0,64714.0
2016,惠州市,惠州,6805,1.836884643644379,125,26,30,35,34,71605.0,34121671.0,41.12,90.67,34.26,124.93,124.93,285.0,19437.0
2018,惠州市,惠州,7325,2.21160409556314,162,25,28,49,60,85418.0,41030532.0,43.03,121.2271,23.7721,144.9992,144.99933,328.0,12491.84
2019,惠州市,惠州,5520,1.7934782608695652,99,19,6,27,47,86043.0,41770000.0,43.16,97.19376,37.38498,134.57874,134.57874,483.0,41330.19
2020,惠州市,惠州,6517,1.4577259475218658,95,26,5,26,38,70191.0,42210000.0,44.25,44.9542,80.92911,125.88331,125.88331,614.0,3536.0
2021,惠州市,惠州,7569,1.1494252873563218,87,9,24,21,33,82113.0,49770000.0,42.03,1.0704,135.8626,136.933,136.933,681.0,12256.0
2022,惠州市,惠州,8119,1.441064170464343,117,18,41,22,36,89157.0,54010000.0,38.95,0.0,140.00678,140.00678,140.0884,669.0,2279.0
2023,惠州市,惠州,8511,1.1514510633298085,98,14,22,21,41,93036.0,56400000.0,40.31,0.0,136.16359,139.05689,139.13565,720.0,460.0
2013,成都市,成都,7614,1.536643026004728,117,8,19,53,37,76674.0,91088904.0,50.22,80.88,172.7,253.59,253.59,1136.0,1099.0
2014,成都市,成都,5747,1.7400382808421786,100,14,13,36,37,70019.0,100565926.0,51.62,96.51,170.69,267.2,267.2,1321.0,11416.0
2015,成都市,成都,5944,1.3458950201884252,80,11,12,27,30,74273.0,108011633.0,52.81,116.18,157.37,273.55,273.55,1354.0,3152.0
2016,成都市,成都,5852,0.9398496240601504,55,5,5,23,22,76960.0,121702335.0,53.11,162.06,188.91,350.96,350.96,2687.0,736.0
2017,成都市,成都,6106,1.5722240419259743,96,13,37,13,33,86911.0,138893900.0,,217.09,219.72,442.95,442.95,2882.0,110625.0
2018,成都市,成都,7484,1.630144307856761,122,14,42,32,34,94782.0,153427716.0,54.12,206.42657,236.95114,446.96401,446.96401,3805.0,128019.16
2019,成都市,成都,6678,1.1829889188379754,79,9,20,19,31,103386.0,170130000.0,65.57,250.95538,267.31041,527.22217,527.22228,5791.0,96755.46
2020,成都市,成都,8569,1.096977476951803,94,10,7,33,44,85679.0,177170000.0,65.72,241.51364,260.08946,511.39342,511.39872,6147.0,175107.0
2021,成都市,成都,9348,1.0483525887890457,98,13,12,38,35,94622.0,199170000.0,66.38,92.94948,442.85532,548.9475,548.9475,7610.0,217153.0
2022,成都市,成都,7005,1.2562455389007852,88,5,30,25,28,98149.0,208180000.0,66.41,56.82413,472.53329,541.4968,541.4968,7934.0,115844.0
2023,成都市,成都,12897,1.1553074358377915,149,15,41,62,31,103465.0,220750000.0,68.44,69.22621,484.23167,566.2326,566.2327,8374.0,185282.0
2013,扬州市,扬州,5123,1.8543821979309,95,18,16,14,47,70696.0,32520078.0,41.02,8.49,38.08,46.56,46.56,218.0,16250.0
2014,扬州市,扬州,5510,2.1415607985480944,118,11,22,39,46,82654.0,36979100.0,42.86,13.37,35.4,48.77,48.77,245.0,17960.0
2015,扬州市,扬州,5595,2.037533512064343,114,9,25,37,43,89647.0,40168400.0,43.89,18.68,37.93,56.61,56.61,282.0,20189.0
2016,扬州市,扬州,6148,1.8217306441119063,112,10,22,43,37,99151.0,44493800.0,44.96,13.63,52.85,66.49,66.49,326.0,15191.0
2017,扬州市,扬州,6518,1.7336606320957348,113,11,15,43,44,112862.0,50649237.0,,23.72,30.37,56.32,56.32,369.0,6540.0
2018,扬州市,扬州,5132,1.9290724863600937,99,9,21,35,34,120944.0,54661700.0,47.01,20.0385,45.0849,68.0933,68.0933,432.0,9860.5
2019,扬州市,扬州,4837,1.9226793467025007,93,11,22,29,31,128856.0,58500000.0,47.51,12.0564,53.8973,69.797,69.797,520.0,46154.0
2020,扬州市,扬州,5589,2.147074610842727,120,11,17,33,59,132784.0,60480000.0,48.86,10.1357,48.2451,67.4826,67.4826,533.0,59139.0
2021,扬州市,扬州,5847,1.6931759876859929,99,12,11,36,40,146562.0,66960000.0,47.37,9.65596,56.53204,71.51168,71.51168,391.0,43456.0
2022,扬州市,扬州,6972,1.864601262191624,130,12,41,38,39,155132.0,71050000.0,46.56,0.0,57.8385,63.6038,63.6038,435.0,19332.0
2023,扬州市,扬州,4886,1.903397462136717,93,13,23,29,28,161940.0,74230000.0,48.18,0.0,60.9399,69.9707,69.9707,439.0,17983.0
2013,承德市,承德,6295,1.6044479745830025,101,18,22,26,35,33653.0,12720917.0,32.38,1.18,32.76,33.93,39.53,255.0,200.0
2014,承德市,承德,5612,2.0491803278688523,115,20,37,36,22,38128.0,13425500.0,33.2,1.3,30.06,31.36,37.54,271.0,6257.0
2015,承德市,承德,4411,1.6096123328043528,71,16,20,18,17,38505.0,13587278.0,35.82,1.43,29.34,30.77,37.08,150.0,724.0
2016,承德市,承德,7096,2.0434047350620066,145,15,39,43,48,40741.0,14385741.0,37.68,1.57,31.98,33.55,35.32,216.0,519.0
2017,承德市,承德,7518,1.8754988028731048,141,17,36,47,41,41299.0,14654537.0,,3.29,25.27,28.55,28.57,515.0,451.0
2018,承德市,承德,6072,2.124505928853755,129,12,41,43,33,41476.0,14815102.0,45.68,2.0221,26.27867,28.30076,28.30076,483.0,10828.16
2019,承德市,承德,6241,1.5702611760935747,98,11,25,31,31,41080.0,14710000.0,46.53,3.57,26.05598,29.62598,29.62598,479.0,9881.7
2020,承德市,承德,6190,1.5024232633279482,93,9,24,33,27,46119.0,15500000.0,46.19,1.21,28.33956,29.54956,29.54956,487.0,13723.0
2021,承德市,承德,6131,2.038819115968032,125,11,40,56,18,50749.0,16970000.0,43.96,0.0,25.30783,25.30783,25.30783,504.0,9037.0
2022,承德市,承德,5449,1.5782712424298035,86,9,5,46,26,53482.0,17800000.0,42.7,0.0,25.3954,25.3954,25.39547,502.0,553.0
2023,承德市,承德,5676,1.53276955602537,87,8,25,36,18,55915.0,18520000.0,45.07,0.0,25.18024,25.18024,25.18024,502.0,394.0
2014,抚州市,抚州,4363,1.9940407976163188,87,21,3,28,35,26119.0,10367713.0,31.65,19.31,,19.31,19.31,64.0,2273.0
2015,抚州市,抚州,4352,1.7233455882352942,75,17,9,20,29,27735.0,11051377.0,33.84,22.34,,22.34,22.34,69.0,12450.0
2016,抚州市,抚州,2047,1.612115290669272,33,6,1,13,13,30259.0,12109070.0,34.9,22.39,,22.39,22.39,76.0,7600.0
2017,抚州市,抚州,5415,2.197599261311173,119,5,37,43,34,33688.0,,,30.18,,30.18,30.18,105.0,9370.0
2018,抚州市,抚州,6665,1.8454613653413352,123,6,33,50,34,34226.0,13824038.0,44.64,25.7816,1.17,26.9516,26.9516,179.0,27554.0
2019,抚州市,抚州,4720,2.288135593220339,108,14,7,43,44,37272.0,15110000.0,47.77,4.92714,25.69851,30.62565,30.62565,383.0,18143.0
2020,抚州市,抚州,4582,2.1169794849410737,97,9,19,42,27,43305.0,15730000.0,48.44,0.0,35.3672,35.4488,35.4488,396.0,14982.0
2021,抚州市,抚州,6265,1.8834796488427767,118,9,27,57,25,49885.0,17950000.0,48.52,0.0,35.0224,35.0224,35.0224,419.0,2795.0
2022,抚州市,抚州,4285,1.936989498249708,83,9,26,29,19,54360.0,19460000.0,48.17,0.0,33.378,35.1221,35.1221,1288.0,1320.0
2023,抚州市,抚州,4576,1.5734265734265735,72,7,23,24,18,56854.0,20350000.0,48.96,0.0,34.3485,36.44327,36.44331,1253.0,3480.0
2013,新余市,新余,5175,2.164251207729469,112,19,42,27,24,69840.0,8450692.0,36.13,16.0,,16.0,16.0,89.0,397.0
2014,新余市,新余,4686,1.792573623559539,84,13,26,20,25,77730.0,9002683.0,36.15,16.0,,16.0,16.0,89.0,203.0
2015,新余市,新余,4420,1.787330316742081,79,16,13,21,29,81354.0,9467964.0,38.33,16.1,,16.1,16.1,89.0,700.0
2016,新余市,新余,5320,1.7293233082706767,92,14,24,26,28,88548.0,10361912.0,41.78,,16.5,16.5,16.5,89.0,705.0
2017,新余市,新余,4751,1.8311934329614816,87,14,16,17,40,82603.0,,,,16.72,16.72,16.72,82.0,784.0
2018,新余市,新余,4313,2.156271736610248,93,9,14,23,47,86789.0,10273443.0,45.03,0.0,17.7753,17.7753,17.7753,70.0,1887.29
2019,新余市,新余,5415,1.920590951061865,104,16,11,26,51,81641.0,9720000.0,46.86,0.0,18.1868,18.1868,18.1868,157.0,2111.42
2020,新余市,新余,5736,1.4470013947001394,83,15,15,21,32,83583.0,10010000.0,47.15,0.0,18.5118,18.5118,18.5118,146.0,12887.8
2021,新余市,新余,6194,1.517597675169519,94,11,17,25,41,96025.0,11550000.0,47.36,0.0,20.2103,20.9915,20.9915,129.0,13014.0
2022,新余市,新余,4994,1.7420905086103322,87,8,29,17,33,104133.0,12520000.0,49.96,0.0,21.2986,23.0058,23.0058,132.0,3688.0
2023,新余市,新余,4856,1.6474464579901154,80,7,16,19,38,105098.0,12620000.0,53.6,0.0,20.5087,23.2298,23.2298,149.0,3469.0
2013,无锡市,无锡,5082,1.829988193624557,93,13,17,22,41,122318.0,80701800.0,46.02,33.54,80.77,114.31,114.31,850.0,
2014,无锡市,无锡,5411,2.05137682498614,111,14,14,28,55,126389.0,82053100.0,48.4,49.36,72.99,122.35,122.35,952.0,185.0
2015,无锡市,无锡,5761,1.6837354625933,97,14,8,22,53,130938.0,85182600.0,49.11,74.11,58.33,132.44,132.44,1011.0,7210.0
2016,无锡市,无锡,6738,1.6028495102404272,108,12,19,24,53,141258.0,92100200.0,51.34,77.74,64.67,142.41,142.41,1083.0,86.0
2017,无锡市,无锡,6519,1.7180549163982206,112,20,14,23,55,157668.0,105118000.0,,85.6,72.78,158.37,158.37,1083.0,36071.0
2018,无锡市,无锡,7002,1.5138531848043415,106,14,13,25,54,174270.0,114386200.0,51.14,35.1948,129.6674,164.8622,164.8622,1083.0,2515.5
2019,无锡市,无锡,5674,1.4804370814240395,84,12,11,19,42,180044.0,118520000.0,51.48,19.4443,156.7034,176.1477,176.1477,1112.0,20100.0
2020,无锡市,无锡,5764,1.561415683553088,90,9,10,31,40,165851.0,123700000.0,52.47,14.62703,157.33049,179.75832,179.7584,1415.0,164909.0
2021,无锡市,无锡,7416,1.2944983818770228,96,10,9,25,52,187415.0,140030000.0,51.15,1.62967,179.01769,180.64736,180.64736,1704.0,105024.0
2022,无锡市,无锡,7889,1.419698314108252,112,16,33,24,39,198404.0,148510000.0,50.77,0.0,191.40136,204.60922,204.60922,2107.0,61019.0
2023,无锡市,无锡,6802,1.0732137606586298,73,9,22,13,29,206278.0,154560000.0,51.39,0.0,186.169,215.1114,215.1114,2427.0,57614.0
2013,昆明市,昆明,5812,1.9270474879559527,112,21,18,33,40,62437.0,34153115.0,50.03,2.12,124.1,126.22,141.83,2809.0,2604.0
2014,昆明市,昆明,4160,1.9230769230769231,80,9,16,29,26,56236.0,37129943.0,53.67,2.12,145.95,148.07,155.84,1259.0,8000.0
2015,昆明市,昆明,1411,1.48830616583983,21,6,1,6,8,59656.0,39680051.0,55.28,2.3,147.01,149.31,158.76,1398.0,600.0
2016,昆明市,昆明,5450,2.146788990825688,117,27,18,33,39,64156.0,43000780.0,56.73,2.42,192.44,194.86,200.92,1429.0,5113.0
2017,昆明市,昆明,6771,1.3439669177374096,91,18,7,27,39,71906.0,48576400.0,,2.56,180.88,183.43,183.43,1800.0,9062.0
2018,昆明市,昆明,6661,1.6063654105990093,107,19,13,21,54,76387.0,52068979.0,56.59,11.3895,187.1315,198.521,199.251,2331.0,33290.3
2019,昆明市,昆明,7957,1.6086464748020612,128,17,21,37,53,93853.0,64760000.0,63.73,51.75024,138.23683,189.98706,189.98706,1709.0,392.91
2020,昆明市,昆明,10448,1.1772588055130169,123,20,11,28,64,80584.0,67340000.0,64.14,15.72034,194.09463,209.81497,209.81502,2031.0,177.0
2021,昆明市,昆明,8184,1.3074291300097751,107,12,16,27,52,85146.0,72230000.0,63.71,28.50796,218.8042,254.48544,254.48544,2166.0,0.0
2022,昆明市,昆明,6932,1.8609347951529136,129,9,20,46,54,88193.0,75410000.0,63.66,9.23666,223.48015,239.14733,239.14733,2479.0,0.0
2023,昆明市,昆明,6403,1.2494143370295174,80,14,26,17,23,90821.0,78650000.0,66.49,3.1799,229.77677,240.24123,240.24123,2498.0,35749.0
2013,杭州市,杭州,7119,1.7277707543194267,123,20,27,30,46,118013.0,83435193.0,52.93,173.58,90.63,264.21,264.21,1275.0,522.0
2014,杭州市,杭州,5487,2.041188263167487,112,27,24,22,39,103813.0,92061633.0,55.25,175.92,107.28,283.2,283.2,1344.0,1062.0
2015,杭州市,杭州,5078,1.851122489168964,94,22,15,14,43,112230.0,100502079.0,58.24,239.46,112.52,351.98,351.98,1498.0,89802.0
2016,杭州市,杭州,6254,1.7748640869843302,111,21,15,37,38,124286.0,113137223.0,60.89,213.54,128.93,342.46,342.46,1484.0,350.0
2017,杭州市,杭州,5976,1.5394912985274432,92,14,11,23,44,135113.0,126033600.0,,250.62,100.51,351.12,351.12,2070.0,6997.0
2018,杭州市,杭州,6534,1.4539332721150904,95,14,10,14,57,140180.0,135091508.0,63.9,172.83153,196.47737,369.3089,369.3089,1748.0,22436.2
2019,杭州市,杭州,6872,1.4988358556461,103,12,2,22,67,152465.0,153730000.0,66.17,155.52213,222.81572,382.83785,382.83785,2002.0,5.37
2020,杭州市,杭州,5700,1.4210526315789471,81,12,3,34,32,136617.0,161060000.0,68.04,143.88368,224.06323,374.90123,374.90123,2333.0,135379.0
2021,杭州市,杭州,6455,1.39426800929512,90,9,6,40,35,149857.0,181090000.0,67.85,12.01204,341.14077,394.45616,394.45616,2887.0,34902.0
2022,杭州市,杭州,5638,1.6317843206810925,92,5,15,40,32,152588.0,187530000.0,68.19,0.0,332.51256,409.0375,409.03755,2972.0,27916.0
2023,杭州市,杭州,6283,1.4324367340442463,90,10,22,26,32,161129.0,200590000.0,70.02,0.0,294.15467,392.37414,392.37417,3197.0,10308.0
2014,柳州市,柳州,7612,0.8933263268523385,68,11,11,19,27,57049.0,22085074.0,33.45,44.35,,44.35,44.35,471.0,25096.0
2015,柳州市,柳州,7341,1.4167007219724832,104,12,16,31,45,58869.0,22986169.0,36.11,49.83,,49.83,49.83,493.0,1553.0
2016,柳州市,柳州,5684,1.0731878958479943,61,5,13,19,24,62855.0,24769396.0,37.75,53.97,,53.97,53.97,506.0,1517.0
2017,柳州市,柳州,5384,1.5230312035661218,82,1,23,35,23,69249.0,27556424.0,,61.78,,61.78,61.78,486.0,2864.0
2018,柳州市,柳州,5456,1.5579178885630498,85,2,17,32,34,75945.0,30536457.0,40.93,64.22844,0.0,64.22844,64.22844,523.0,4085.61
2019,柳州市,柳州,4697,1.5967638918458589,75,8,13,25,29,77056.0,31280000.0,43.25,69.68489,0.0,69.68489,69.68489,694.0,10567.87
2020,柳州市,柳州,6156,1.023391812865497,63,5,9,24,25,77148.0,31770000.0,45.48,70.14708,0.0,70.14708,70.1471,799.0,57920.0
2021,柳州市,柳州,4606,1.020408163265306,47,2,11,21,13,73328.0,30570000.0,49.79,73.19459,0.0,73.19459,73.19459,883.0,61654.0
2022,柳州市,柳州,5261,1.824748146740164,96,7,25,23,41,74322.0,31090000.0,49.26,0.0,69.65337,71.6479,71.6479,918.0,5395.0
2023,柳州市,柳州,5234,1.757737867787543,92,3,40,23,26,74679.0,31160000.0,50.85,0.0,68.43029,77.18266,77.18266,913.0,1740.0
2013,桂林市,桂林,7279,1.5661491963181755,114,12,17,41,44,31761.0,16579048.0,34.11,25.52,,25.52,31.42,199.0,22163.0
2014,桂林市,桂林,6361,1.650683854739821,105,8,19,20,58,37288.0,18270531.0,34.97,24.86,,24.86,33.79,249.0,20382.0
2015,桂林市,桂林,7671,1.87719984356668,144,12,22,51,59,39329.0,19429668.0,36.16,38.42,,38.42,38.42,423.0,1636.0
2016,桂林市,桂林,7488,2.096688034188034,157,22,23,55,57,41216.0,20548216.0,37.8,40.86,,40.86,40.86,455.0,2496.0
2017,桂林市,桂林,8119,1.9091021061707107,155,12,24,54,65,40632.0,20451807.0,,45.81,,45.81,45.81,558.0,1534.0
2018,桂林市,桂林,7026,1.48021633931113,104,5,13,51,35,39507.0,20036055.0,49.32,48.86159,0.0,48.86159,48.8616,447.0,
2019,桂林市,桂林,8184,1.3685239491691104,112,11,20,49,32,41294.0,21060000.0,54.31,0.0,44.51904,44.51904,44.51904,414.0,972.0
2020,桂林市,桂林,8234,1.6395433568132136,135,11,15,59,50,42424.0,21300000.0,54.41,0.0,46.1804,46.1804,46.1804,434.0,0.0
2021,桂林市,桂林,6623,1.5551864713875887,103,4,14,46,39,46767.0,23110000.0,54.31,0.0,49.685,49.685,49.685,449.0,700.0
2022,桂林市,桂林,6541,1.4982418590429598,98,9,18,35,36,49196.0,24360000.0,52.88,0.0,47.36609,49.1801,49.1801,512.0,0.0
2023,桂林市,桂林,7463,1.567734155165483,117,8,24,41,44,50943.0,25230000.0,54.04,0.0,49.0829,54.08286,54.0829,503.0,0.0
2013,梧州市,梧州,5101,1.5879239364830426,81,11,10,30,30,29515.0,9917096.0,22.34,11.56,,11.56,11.56,63.0,1073.0
2014,梧州市,梧州,5192,1.50231124807396,78,6,8,27,37,31293.0,10648152.0,28.1,15.66,,15.66,15.66,68.0,373.0
2015,梧州市,梧州,5796,1.621808143547274,94,12,14,26,42,36104.0,10785858.0,30.8,18.59,,18.59,18.59,123.0,557.0
2016,梧州市,梧州,5331,1.2192834365034704,65,8,7,32,18,39072.0,11756486.0,30.86,20.88,,20.88,20.88,123.0,568.0
2017,梧州市,梧州,5257,1.616891763363135,85,9,17,32,27,44193.0,13381050.0,,20.76,,20.76,20.76,145.0,1810.0
2018,梧州市,梧州,5652,1.5923566878980893,90,14,14,31,31,33774.0,10298470.0,45.62,20.967,0.0,20.967,20.967,197.0,1627.0
2019,梧州市,梧州,4624,1.8166089965397925,84,13,10,21,40,32303.0,9910000.0,49.22,21.7953,0.0,21.7953,21.7953,479.0,65666.38
2020,梧州市,梧州,4715,1.2513255567338282,59,9,2,16,32,38214.0,10810000.0,48.47,11.5368,10.5,22.0368,22.0368,550.0,3029.05
2021,梧州市,梧州,5064,0.8886255924170616,45,3,15,7,20,48463.0,13690000.0,42.66,0.0,23.12188,23.12188,23.12188,597.0,18192.0
2022,梧州市,梧州,5692,1.563598032326072,89,9,35,20,25,50185.0,14200000.0,44.71,0.0,23.61506,23.61506,23.61506,622.0,67218.0
2023,梧州市,梧州,6429,1.462124747239073,94,11,40,27,16,52640.0,14910000.0,44.83,0.0,23.93035,23.93035,23.93035,673.0,14494.0
2013,武汉市,武汉,7780,1.3496143958868894,105,15,19,27,44,110113.0,90512700.0,47.72,25.04,238.66,263.7,263.7,3478.0,52730.0
2014,武汉市,武汉,8172,1.7131669114047967,140,25,20,53,42,98000.0,100694800.0,49.0,21.95,235.41,257.36,257.36,5112.0,52347.0
2015,武汉市,武汉,5946,1.227716111671712,73,10,8,35,20,104132.0,109056000.0,51.02,48.02,260.96,330.68,330.68,8690.0,69460.0
2016,武汉市,武汉,6405,1.483216237314598,95,13,19,38,25,111469.0,119126100.0,52.84,96.43,243.52,356.29,356.29,8748.0,122619.0
2017,武汉市,武汉,4843,1.176956431963659,57,11,1,20,25,123831.0,134103400.0,,129.43,245.25,396.38,396.38,8424.0,174247.0
2018,武汉市,武汉,5865,1.346973572037511,79,16,9,33,21,135136.0,148472900.0,54.61,132.0622,253.35114,406.6816,406.6816,5827.0,171788.0
2019,武汉市,武汉,5717,1.5742522301906596,90,10,11,27,42,145545.0,162230000.0,60.75,128.22666,256.44446,428.00488,428.00488,6049.0,254222.0
2020,武汉市,武汉,5660,1.254416961130742,71,11,9,21,30,131441.0,156160000.0,61.83,101.73228,249.82748,405.15464,405.15464,7753.0,0.0
2021,武汉市,武汉,5553,1.3326130019809113,74,9,13,25,27,135251.0,177170000.0,62.45,107.63917,276.97677,479.54573,479.54573,6782.0,68037.0
2022,武汉市,武汉,6491,1.602218456324141,104,10,28,36,30,137772.0,188660000.0,61.88,58.44862,357.6039,441.82845,441.82845,6420.0,53539.0
2023,武汉市,武汉,6228,1.3166345536287731,82,8,25,25,24,145471.0,200120000.0,63.64,0.0,417.20444,461.7366,461.7366,5739.0,40264.0
2013,汕头市,汕头,5108,1.05716523101018,54,7,2,18,27,28998.0,15659049.0,42.21,48.82,11.06,59.88,74.27,356.0,10930.0
2014,汕头市,汕头,5462,1.6477480776272428,90,15,4,18,53,31201.0,17165113.0,42.01,47.69,10.95,58.64,76.24,375.0,
2015,汕头市,汕头,5800,1.4482758620689655,84,12,4,17,51,33732.0,18680251.0,43.34,56.07,16.86,72.93,78.76,383.0,
2016,汕头市,汕头,6512,1.382063882063882,90,15,4,20,51,37390.0,20809729.0,44.34,63.57,19.0,82.57,91.92,545.0,14010.0
2017,汕头市,汕头,5137,1.401596262409967,72,11,10,15,36,42029.0,23509700.0,,80.73,18.7,99.43,108.15,685.0,41925.0
2018,汕头市,汕头,5943,1.6153457849570922,96,7,13,30,46,44672.0,25120504.0,44.8,64.1148,54.682,118.7968,121.2212,948.0,63011.0
2019,汕头市,汕头,6285,1.4638027048528242,92,17,10,12,53,47669.0,26940000.0,48.01,49.65167,94.21903,143.8707,143.8707,808.0,19426.0
